Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-02-10,18.93,20.83,18.889999,19.27,19.27,14023000,0
2022-02-11,19.299999,20.08,18.09,18.370001,18.370001,10814800,1
2022-02-14,18.360001,19.09,17.67,17.92,17.92,7381600,2
2022-02-15,19.059999,19.85,18.85,19.73,19.73,10252300,3
2022-02-16,19.134001,19.860001,18.959999,19.59,19.59,6371100,4
2022-02-17,19,19.34,17.6,17.76,17.76,7025300,5
2022-02-18,17.68,17.84,16.73,16.969999,16.969999,6579100,6
2022-02-22,16.114,16.996,15.71,15.95,15.95,7301500,7
2022-02-23,16.58,16.790001,15.02,15.07,15.07,7533100,8
2022-02-24,13.69,16.389999,13.63,16.25,16.25,12252600,9
2022-02-25,16.41,16.700001,15.585,16.219999,16.219999,7577600,10
2022-02-28,16.129999,17.799999,16.059999,17.23,17.23,13831600,11
2022-03-01,18.190001,18.219999,16.74,17.5,17.5,13192400,12
2022-03-02,17.389999,17.84,16.77,17.73,17.73,7997400,13
2022-03-03,17.59,17.889999,15.843,15.97,15.97,7159100,14
2022-03-04,15.73,16.290001,14.72,14.92,14.92,6567300,15
2022-03-07,15.05,15.725,14.66,14.95,14.95,8569000,16
2022-03-08,14.8,15.739,14.42,15.1,15.1,6858000,17
2022-03-09,16.08,17.18,16.038,16.84,16.84,10942800,18
2022-03-10,16.129999,16.74,15.83,16.51,16.51,6341100,19
2022-03-11,16.6,16.719999,15.09,15.14,15.14,5723900,20
2022-03-14,15,15.24,14.02,14.16,14.16,6032800,21
2022-03-15,14.2,14.97,13.57,14.91,14.91,4296400,22
2022-03-16,15.2,16.42,15.11,16.389999,16.389999,8028700,23
2022-03-17,16.120001,18.49,16.030001,18.43,18.43,10398100,24
2022-03-18,18.09,19.799999,17.879999,19.530001,19.530001,13580200,25
2022-03-21,19.575001,20.41,19.02,19.620001,19.620001,8611900,26
2022-03-22,20.459999,21.4,20.209999,20.75,20.75,9264400,27
2022-03-23,20.52,21.459999,19.945,20.84,20.84,7400900,28
2022-03-24,21.18,21.6,20.23,21.540001,21.540001,7709300,29
2022-03-25,22,22.27,20.32,20.76,20.76,7261400,30
2022-03-28,22.145,23.66,21.9,22.860001,22.860001,14306700,31
2022-03-29,23.08,23.108,21.58,23,23,8443900,32
2022-03-30,22.530001,22.98,21.75,22.040001,22.040001,5626500,33
2022-03-31,22.15,22.870001,21.120001,21.17,21.17,6034400,34
2022-04-01,20.6,21.379999,20.309999,20.73,20.73,8035100,35
2022-04-04,20.73,21.042999,20.370001,20.690001,20.690001,6410300,36
2022-04-05,20.75,21.01,19.16,19.23,19.23,6467100,37
2022-04-06,18.540001,18.674999,17.379999,17.66,17.66,9199600,38
2022-04-07,17.559999,17.98,16.77,17.42,17.42,6392800,39
2022-04-08,17.129999,17.51,16.620001,16.68,16.68,6101400,40
2022-04-11,16.1,16.450001,15.47,15.91,15.91,5646700,41
2022-04-12,16.299999,16.940001,15.37,15.47,15.47,6857800,42
2022-04-13,15.45,16.1,15.31,16.01,16.01,6376600,43
2022-04-14,15.96,16.07,14.96,14.97,14.97,6280400,44
2022-04-18,14.75,15.06,14.265,14.79,14.79,6212900,45
2022-04-19,14.82,15.21,14.23,14.88,14.88,7729800,46
2022-04-20,14.93,15.11,13.845,13.95,13.95,8423900,47
2022-04-21,14.46,14.726,12.76,12.8,12.8,10523800,48
2022-04-22,12.655,13.1,11.82,11.85,11.85,9682600,49
2022-04-25,11.515,12.12,11.42,12.04,12.04,9640800,50
2022-04-26,11.97,12.04,10.965,11.08,11.08,8596300,51
2022-04-27,10.825,11.7,10.78,10.98,10.98,8272900,52
2022-04-28,11.1,11.37,10.35,10.94,10.94,10367400,53
2022-04-29,10.82,11.461,10.11,10.14,10.14,7931900,54
2022-05-02,10.09,10.98,9.75,10.97,10.97,10925500,55
2022-05-03,10.86,11.388,10.72,10.84,10.84,6528400,56
2022-05-04,10.9,11.64,10.242,11.57,11.57,11556800,57
2022-05-05,11.34,11.37,9.91,10.19,10.19,9394800,58
2022-05-06,9.99,10.09,9.3,9.49,9.49,8815400,59
2022-05-09,8.87,9,7.53,7.67,7.67,14021200,60
2022-05-10,8.25,8.5,7.23,7.53,7.53,12194500,61
2022-05-11,7.08,7.98,6.75,6.84,6.84,17503500,62
2022-05-12,6.5,7.45,6.25,7.31,7.31,19021000,63
2022-05-13,7.95,8.43,7.72,7.97,7.97,17060900,64
2022-05-16,7.83,7.93,7.17,7.19,7.19,9857300,65
2022-05-17,7.56,7.83,7.33,7.62,7.62,9248300,66
2022-05-18,7.45,7.57,6.8,6.93,6.93,10537400,67
2022-05-19,6.99,7.53,6.95,7.13,7.13,12357500,68
2022-05-20,7.27,7.35,6.471,6.84,6.84,13467600,69
2022-05-23,6.96,7.13,6.645,6.86,6.86,11586800,70
2022-05-24,6.69,6.83,6.07,6.27,6.27,9882400,71
2022-05-25,6.22,6.56,6.185,6.43,6.43,7512000,72
2022-05-26,6.14,6.92,5.97,6.73,6.73,14240800,73
2022-05-27,6.8,7.3,6.739,7.24,7.24,14393100,74
2022-05-31,7.77,7.83,7.05,7.19,7.19,20431800,75
2022-06-01,7.2,7.25,6.48,6.52,6.52,15500400,76
2022-06-02,6.49,7.06,6.43,6.87,6.87,14267400,77
2022-06-03,6.56,6.62,6.11,6.21,6.21,15232400,78
2022-06-06,6.5,6.6,6.25,6.37,6.37,12234100,79
2022-06-07,6.15,6.23,5.82,6.17,6.17,17003700,80
2022-06-08,6.08,6.425,5.92,5.97,5.97,11169200,81
2022-06-09,5.89,5.9,5.44,5.47,5.47,13909300,82
2022-06-10,5.25,5.48,5.13,5.17,5.17,13120600,83
2022-06-13,4.37,4.86,4.36,4.65,4.65,16599900,84
2022-06-14,4.705,5.015,4.44,4.89,4.89,10692200,85
2022-06-15,4.82,5,4.59,4.86,4.86,20448200,86
2022-06-16,4.69,4.73,4.37,4.53,4.53,9652700,87
2022-06-17,4.5,4.77,4.47,4.65,4.65,9774800,88
2022-06-21,4.86,5.54,4.8,5.09,5.09,18023500,89
2022-06-22,5,5.07,4.55,4.6,4.6,14212400,90
2022-06-23,4.75,4.97,4.55,4.94,4.94,13064900,91
2022-06-24,5.01,5.405,4.99,5.19,5.19,16972500,92
2022-06-27,5.18,5.22,4.67,4.89,4.89,11651700,93
2022-06-28,5.02,5.11,4.69,4.76,4.76,9706600,94
2022-06-29,4.67,4.69,4.34,4.5,4.5,11364700,95
2022-06-30,4.34,4.4,4.12,4.19,4.19,10723300,96
2022-07-01,4.24,4.38,4.13,4.24,4.24,8415200,97
2022-07-05,4.13,4.75,4.02,4.73,4.73,13145700,98
2022-07-06,4.665,4.76,4.465,4.53,4.53,8250700,99
2022-07-07,4.6,5.29,4.57,5.28,5.28,18884700,100
2022-07-08,5.12,5.81,4.95,5.46,5.46,28861700,101
2022-07-11,5.04,5.23,4.822,4.87,4.87,12524800,102
2022-07-12,4.82,4.99,4.68,4.84,4.84,8420600,103
2022-07-13,4.68,5.03,4.52,4.93,4.93,10878600,104
2022-07-14,4.86,5.33,4.71,5.32,5.32,13267900,105
2022-07-15,5.47,5.695,5.35,5.57,5.57,13391900,106
2022-07-18,5.94,6.88,5.92,6.23,6.23,39477400,107
2022-07-19,6.6,7.05,6.33,6.98,6.98,35761600,108
2022-07-20,7.24,7.48,6.81,7.02,7.02,45561800,109
2022-07-21,6.78,7.639,6.7,7.62,7.62,27389100,110
2022-07-22,7.87,7.93,7.06,7.12,7.12,18291900,111
2022-07-25,6.84,7.06,6.57,6.65,6.65,13600600,112
2022-07-26,6.35,6.51,6.02,6.21,6.21,11404100,113
2022-07-27,6.54,7.33,6.261,7.15,7.15,18717900,114
2022-07-28,7.17,7.6,6.91,7.4,7.4,19581000,115
2022-07-29,7.24,7.743,7.08,7.32,7.32,14528900,116
2022-08-01,7.13,7.55,6.975,7.33,7.33,13572100,117
2022-08-02,7.19,8.096,7.12,7.75,7.75,16035900,118
2022-08-03,7.97,8.4,7.85,8.12,8.12,19769600,119
2022-08-04,8.22,8.83,8.06,8.18,8.18,20818500,120
2022-08-05,8.155,8.67,8.05,8.27,8.27,14090300,121
2022-08-08,8.77,9.11,8.58,8.71,8.71,16462200,122
2022-08-09,8.52,8.525,7.79,8.145,8.145,15041000,123
2022-08-10,8.75,9.16,8.15,9.11,9.11,23196000,124
2022-08-11,9.85,10.519,9.37,9.52,9.52,29449000,125
2022-08-12,9.56,10.05,9.17,9.93,9.93,15406500,126
2022-08-15,9.875,10.23,9.57,9.76,9.76,17073700,127
2022-08-16,9.54,9.79,8.8,9.17,9.17,19974000,128
2022-08-17,8.949,9,8.21,8.35,8.35,16838100,129
2022-08-18,8.65,8.65,8.21,8.28,8.28,8857400,130
2022-08-19,7.58,7.8,7.22,7.25,7.25,14486300,131
2022-08-22,6.95,7.217,6.815,7,7,12456400,132
2022-08-23,7.02,7.57,7.02,7.1,7.1,11776200,133
2022-08-24,7.21,7.59,7.13,7.29,7.29,9891700,134
2022-08-25,7.35,7.54,7.12,7.43,7.43,8564800,135
2022-08-26,7.5,7.555,6.77,6.79,6.79,13330800,136
2022-08-29,6.62,7.185,6.59,6.97,6.97,10890700,137
2022-08-30,7.03,7.22,6.605,6.89,6.89,10393300,138
2022-08-31,6.94,7.27,6.85,7.17,7.17,12051700,139
2022-09-01,6.96,7.06,6.51,6.85,6.85,10871900,140
2022-09-02,7,7.06,6.55,6.63,6.63,11208600,141
2022-09-06,6.66,6.87,6.28,6.4,6.4,16663700,142
2022-09-07,6.31,6.58,6.15,6.55,6.55,11032900,143
2022-09-08,6.47,7.49,6.35,7.46,7.46,19282900,144
2022-09-09,8,8.33,7.851,8.26,8.26,16446700,145
2022-09-12,8.51,8.67,8.15,8.47,8.47,14061400,146
2022-09-13,7.7,8.159,7.6,7.63,7.63,12389800,147
2022-09-14,7.62,7.665,7.4,7.56,7.56,9128100,148
2022-09-15,7.45,7.97,7.311,7.38,7.38,10339800,149
2022-09-16,7.2,7.2,6.63,6.645,6.645,15063900,150
2022-09-19,6.45,6.7,6.36,6.52,6.52,10978900,151
2022-09-20,6.46,6.5,6.18,6.22,6.22,8247800,152
2022-09-21,6.23,6.81,6.15,6.37,6.37,13734200,153
2022-09-22,6.37,6.44,6.085,6.34,6.34,8953300,154
2022-09-23,6.01,6.345,5.922,6.33,6.33,8991800,155
2022-09-26,6.42,6.985,6.4,6.7,6.7,10034200,156
2022-09-27,7.02,7.15,6.551,6.83,6.83,12296100,157
2022-09-28,6.72,7.405,6.681,7.34,7.34,10178400,158
2022-09-29,7.03,7.13,6.7,7.09,7.09,8883300,159
2022-09-30,6.96,7.64,6.88,7.01,7.01,12754100,160
2022-10-03,7.07,7.268,6.86,7.19,7.19,9449400,161
2022-10-04,7.54,7.775,7.315,7.59,7.59,12475400,162
2022-10-05,7.39,7.41,6.98,7.25,7.25,9076000,163
2022-10-06,7.23,7.5,7.06,7.16,7.16,9599100,164
2022-10-07,6.98,6.98,6.44,6.565,6.565,7812400,165
2022-10-10,6.57,6.61,6.2,6.39,6.39,5396300,166
2022-10-11,6.3,6.45,5.96,6.19,6.19,7776100,167
2022-10-12,6.17,6.285,5.972,6.14,6.14,8161800,168
2022-10-13,5.72,6.43,5.54,6.39,6.39,12928100,169
2022-10-14,6.49,6.61,5.73,5.76,5.76,9923400,170
2022-10-17,6.01,6.249,6.01,6.04,6.04,7718500,171
2022-10-18,6.3,6.405,5.83,5.87,5.87,8974900,172
2022-10-19,5.82,5.89,5.61,5.67,5.67,8018300,173
2022-10-20,5.615,5.93,5.57,5.58,5.58,6953300,174
2022-10-21,5.52,5.85,5.38,5.83,5.83,7585200,175
2022-10-24,5.83,6.14,5.58,6.05,6.05,9463600,176
2022-10-25,6.02,7.05,6.02,7.01,7.01,14727300,177
2022-10-26,6.85,7.675,6.82,7.06,7.06,19476300,178
2022-10-27,7.23,7.35,6.825,6.84,6.84,11737600,179
2022-10-28,6.85,7.07,6.63,7.05,7.05,10109500,180
2022-10-31,7.05,7.13,6.77,6.89,6.89,7764000,181
2022-11-01,7.11,7.15,6.45,6.45,6.45,8151200,182
2022-11-02,6.47,6.52,5.85,5.87,5.87,13266200,183
2022-11-03,5.78,5.985,5.5,5.51,5.51,11348000,184
2022-11-04,5.845,5.941,5.49,5.79,5.79,16705800,185
2022-11-07,5.835,5.87,5.571,5.75,5.75,8103700,186
2022-11-08,5.34,5.81,4.96,5.33,5.33,27140200,187
2022-11-09,4.975,5.19,4.825,4.9,4.9,22550900,188
2022-11-10,5.24,5.56,5.06,5.42,5.42,16682100,189
2022-11-11,5.095,5.4,4.94,5.34,5.34,18159100,190
2022-11-14,5.295,5.42,5.11,5.14,5.14,10754400,191
2022-11-15,5.33,5.47,5.14,5.22,5.22,10610600,192
2022-11-16,5.06,5.15,4.64,4.66,4.66,13186100,193
2022-11-17,4.69,4.75,4.52,4.63,4.63,9252100,194
2022-11-18,4.72,4.72,4.41,4.46,4.46,9665900,195
2022-11-21,4.34,4.43,3.97,3.98,3.98,18020100,196
2022-11-22,4.155,4.16,3.91,3.99,3.99,13866500,197
2022-11-23,4.055,4.435,4.01,4.42,4.42,17725300,198
2022-11-25,4.38,4.47,4.25,4.43,4.43,7243800,199
2022-11-28,4.242,4.46,4.19,4.25,4.25,10621000,200
2022-11-29,4.27,4.38,4.2,4.24,4.24,5427700,201
2022-11-30,4.37,4.67,4.19,4.65,4.65,10902500,202
2022-12-01,4.68,4.76,4.46,4.58,4.58,7730600,203
2022-12-02,4.51,4.975,4.45,4.96,4.96,8315300,204
2022-12-05,5.01,5.13,4.58,4.66,4.66,12616500,205
2022-12-06,4.67,4.69,4.27,4.38,4.38,8357900,206
2022-12-07,4.345,4.39,4.12,4.22,4.22,7975600,207
2022-12-08,4.28,4.455,4.15,4.37,4.37,8121300,208
2022-12-09,4.33,4.38,4.13,4.19,4.19,6525100,209
2022-12-12,4.17,4.262,4.07,4.17,4.17,6457800,210
2022-12-13,4.51,4.64,4.04,4.07,4.07,12270500,211
2022-12-14,4.17,4.28,4.035,4.15,4.15,10348400,212
2022-12-15,4.05,4.09,3.875,4.02,4.02,9195600,213
2022-12-16,3.92,4.01,3.67,3.8,3.8,16122100,214
2022-12-19,3.74,3.85,3.6,3.82,3.82,7043300,215
2022-12-20,3.805,4.03,3.72,3.83,3.83,7193500,216
2022-12-21,3.84,3.91,3.7,3.83,3.83,6217800,217
2022-12-22,3.77,3.82,3.65,3.78,3.78,6059600,218
2022-12-23,3.775,3.8,3.64,3.68,3.68,4805300,219
2022-12-27,3.64,3.66,3.41,3.42,3.42,6356100,220
2022-12-28,3.38,3.5,3.25,3.29,3.29,6616600,221
2022-12-29,3.36,3.51,3.29,3.42,3.42,6773800,222
2022-12-30,3.33,3.42,3.28,3.39,3.39,6505700,223
2023-01-03,3.49,3.67,3.3,3.37,3.37,7255600,224
2023-01-04,3.44,3.95,3.38,3.88,3.88,12325300,225
2023-01-05,3.86,4.277,3.7,4.22,4.22,14097000,226
2023-01-06,4.12,4.35,3.96,4.28,4.28,10373500,227
2023-01-09,4.48,5.23,4.454,4.89,4.89,20809400,228
2023-01-10,4.88,5.67,4.7,5.64,5.64,22171700,229
2023-01-11,5.52,5.885,5.21,5.37,5.37,19031800,230
2023-01-12,5.71,6.16,5.265,6.15,6.15,27692800,231
2023-01-13,5.94,6.495,5.86,6.02,6.02,28880000,232
2023-01-17,6.58,6.62,5.89,6.41,6.41,27444600,233
2023-01-18,6.45,6.63,5.64,5.71,5.71,23793100,234
2023-01-19,5.62,5.885,5.52,5.78,5.78,13255800,235
2023-01-20,5.85,6.22,5.62,6.2,6.2,19740300,236
2023-01-23,6.23,6.63,6.03,6.48,6.48,23506100,237
2023-01-24,6.32,6.62,6.11,6.14,6.14,21428800,238
2023-01-25,5.85,6.275,5.7,6.23,6.23,12213000,239
2023-01-26,6.46,6.58,6.06,6.13,6.13,11489500,240
2023-01-27,6.03,6.39,5.95,6.33,6.33,11727700,241
2023-01-30,6.27,6.84,5.92,5.94,5.94,18810700,242
2023-01-31,6.06,6.32,5.95,6.27,6.27,14011200,243
2023-02-01,6.24,6.95,6.06,6.86,6.86,18687900,244
2023-02-02,7.22,7.78,7.03,7.49,7.49,27398500,245
2023-02-03,7.1,7.77,6.8,6.84,6.84,18891700,246
2023-02-06,6.69,6.818,6.38,6.68,6.68,13765000,247
2023-02-07,6.7,6.7,6.18,6.6,6.6,18661500,248
2023-02-08,6.5,7.038,6.44,6.52,6.52,14973100,249
2023-02-09,6.605,6.65,5.63,5.65,5.65,17068500,250
2023-02-10,5.65,5.7384,5.42,5.56,5.56,6377224,251